dataset	model	thresh	reads_in	reads_out	pct_kept	spades_contigs	spades_total_len	spades_max_len	contigs_path
10K_final_10	BIGRU	0.5	10000	7938	79.38	1	16614	16614	data/assemblies_spades/final_run/bigru_10k_10_bigru_filtered/spades/contigs.fasta
10K_final_10	CNN_fixedep25	0.5	10000	7847	78.47	1	16693	16693	data/assemblies_spades/final_run/10K_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta
10K_final_10	GB	0.5	10000	9530	95.3	1	16614	16614	data/assemblies_spades/final_run/10K_final_10_gb_t0p5/spades/contigs.fasta
10K_final_10	UNFILTERED	NA	10000	10000	100.0	1	16704	16704	data/assemblies_spades/final_run/10K_final_10_unfiltered/spades/contigs.fasta
10K_final_15	BIGRU	0.5	10000	7521	75.21	1	16611	16611	data/assemblies_spades/final_run/bigru_10k_15_bigru_filtered/spades/contigs.fasta
10K_final_15	CNN_fixedep25	0.5	10000	7595	75.95	1	16611	16611	data/assemblies_spades/final_run/10K_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta
10K_final_15	GB	0.5	10000	9333	93.33	1	16642	16642	data/assemblies_spades/final_run/10K_final_15_gb_t0p5/spades/contigs.fasta
10K_final_15	UNFILTERED	NA	10000	10000	100.0	1	16735	16735	data/assemblies_spades/final_run/10K_final_15_unfiltered/spades/contigs.fasta
10K_final_5	BIGRU	0.5	10000	8284	82.84	1	16608	16608	data/assemblies_spades/final_run/bigru_10k_5_bigru_filtered/spades/contigs.fasta
10K_final_5	CNN_fixedep25	0.5	10000	8309	83.09	1	16603	16603	data/assemblies_spades/final_run/10K_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta
10K_final_5	GB	0.5	10000	9732	97.32	1	16615	16615	data/assemblies_spades/final_run/10K_final_5_gb_t0p5/spades/contigs.fasta
10K_final_5	UNFILTERED	NA	10000	10000	100.0	1	16615	16615	data/assemblies_spades/final_run/10K_final_5_unfiltered/spades/contigs.fasta
10K_final_50	BIGRU	0.5	10000	4468	44.68	1	16590	16590	data/assemblies_spades/final_run/bigru_10k_50_bigru_filtered/spades/contigs.fasta
10K_final_50	CNN_fixedep25	0.5	10000	4947	49.47	1	16709	16709	data/assemblies_spades/final_run/10K_final_50_cnn_fixedep25_t0p5/spades/contigs.fasta
10K_final_50	GB	0.5	10000	7894	78.94	1	16787	16787	data/assemblies_spades/final_run/10K_final_50_gb_t0p5/spades/contigs.fasta
10K_final_50	UNFILTERED	NA	10000	10000	100.0	1	16715	16715	data/assemblies_spades/final_run/10K_final_50_unfiltered/spades/contigs.fasta
20K_final_10	BIGRU	0.5	20000	15880	79.4	1	16698	16698	data/assemblies_spades/final_run/bigru_20k_10_bigru_filtered/spades/contigs.fasta
20K_final_10	CNN_fixedep25	0.5	20000	15787	78.935	1	16616	16616	data/assemblies_spades/final_run/20K_final_10_cnn_fixedep25_t0p5/spades/contigs.fasta
20K_final_10	GB	0.5	20000	19027	95.135	1	16616	16616	data/assemblies_spades/final_run/20K_final_10_gb_t0p5/spades/contigs.fasta
20K_final_10	UNFILTERED	NA	20000	20000	100.0	1	16799	16799	data/assemblies_spades/final_run/20K_final_10_unfiltered/spades/contigs.fasta
20K_final_15	BIGRU	0.5	20000	15025	75.125	1	16614	16614	data/assemblies_spades/final_run/bigru_20k_15_bigru_filtered/spades/contigs.fasta
20K_final_15	CNN_fixedep25	0.5	20000	15044	75.22	1	16646	16646	data/assemblies_spades/final_run/20K_final_15_cnn_fixedep25_t0p5/spades/contigs.fasta
20K_final_15	GB	0.5	20000	18669	93.345	1	16891	16891	data/assemblies_spades/final_run/20K_final_15_gb_t0p5/spades/contigs.fasta
20K_final_15	UNFILTERED	NA	20000	20000	100.0	1	16747	16747	data/assemblies_spades/final_run/20K_final_15_unfiltered/spades/contigs.fasta
20K_final_5	BIGRU	0.5	20000	16768	83.84	1	16614	16614	data/assemblies_spades/final_run/bigru_20k_5_bigru_filtered/spades/contigs.fasta
20K_final_5	CNN_fixedep25	0.5	20000	16515	82.575	1	16669	16669	data/assemblies_spades/final_run/20K_final_5_cnn_fixedep25_t0p5/spades/contigs.fasta
20K_final_5	GB	0.5	20000	19498	97.49	1	16619	16619	data/assemblies_spades/final_run/20K_final_5_gb_t0p5/spades/contigs.fasta
20K_final_5	UNFILTERED	NA	20000	20000	100.0	1	16669	16669	data/assemblies_spades/final_run/20K_final_5_unfiltered/spades/contigs.fasta
20K_final_50	BIGRU	0.5	20000	8970	44.85	1	16714	16714	data/assemblies_spades/final_run/bigru_20k_50_bigru_filtered/spades/contigs.fasta
20K_final_50	CNN_fixedep25	0.5	20000	9978	49.89	1	16745	16745	data/assemblies_spades/final_run/20K_final_50_cnn_fixedep25_t0p5/spades/contigs.fasta
